timestamp,temperature_C,humidity_%,wind_speed_kmph,pressure_hPa,visibility_km
2023-03-02 06:00:00,22.7,78.2,11.3,1011.4,9.9
2023-03-02 07:00:00,21.5,73.8,11.0,1012.2,9.6
2023-03-02 08:00:00,23.6,58.5,12.8,1014.0,
2023-03-02 09:00:00,28.7,63.4,13.4,1017.1,10.1
2023-03-02 10:00:00,20.5,52.2,16.3,1006.4,10.7
2023-03-02 11:00:00,25.1,58.4,14.1,1023.4,9.3
2023-03-02 12:00:00,22.1,51.8,14.4,1012.3,
2023-03-02 13:00:00,24.5,51.9,12.5,1011.6,10.3
2023-03-02 14:00:00,22.6,59.6,12.7,1013.3,8.1
2023-03-02 15:00:00,21.9,64.3,14.0,1009.3,10.8
2023-03-02 16:00:00,23.9,68.7,12.8,1001.6,
2023-03-02 17:00:00,,67.6,,1009.5,10.0
2023-03-02 18:00:00,24.2,,7.6,1015.9,9.4
2023-03-02 19:00:00,22.0,64.9,9.7,1009.3,10.4
2023-03-02 20:00:00,19.9,67.1,8.0,1013.5,8.0
2023-03-02 21:00:00,18.8,66.1,6.9,1024.1,11.2
2023-03-02 22:00:00,16.5,76.1,5.9,1003.4,10.2
2023-03-02 23:00:00,18.0,78.1,4.3,1005.5,8.6
2023-03-03 00:00:00,13.6,78.7,6.7,1016.1,10.8
2023-03-03 01:00:00,15.7,75.3,5.5,1008.1,10.1
2023-03-03 02:00:00,18.5,76.1,6.7,1015.5,10.0
2023-03-03 03:00:00,15.9,68.9,6.6,1015.3,10.4
2023-03-03 04:00:00,25.7,64.3,8.4,1012.3,10.3
2023-03-03 05:00:00,20.9,68.1,8.4,1011.1,10.9
2023-03-03 06:00:00,20.8,50.0,10.9,1013.5,10.9
2023-03-03 07:00:00,20.7,65.0,12.8,1010.3,9.9
2023-03-03 08:00:00,22.3,70.3,10.3,1007.2,8.8
2023-03-03 09:00:00,25.7,62.3,16.7,1008.9,10.4
2023-03-03 10:00:00,24.8,62.7,15.8,,10.6
2023-03-03 11:00:00,21.2,60.5,17.8,1008.0,8.9
2023-03-03 12:00:00,25.5,,15.1,1012.1,10.5
2023-03-03 13:00:00,21.9,50.1,13.7,1007.6,10.7
2023-03-03 14:00:00,22.4,68.6,13.0,1012.1,9.2
2023-03-03 15:00:00,24.7,66.3,16.3,1007.8,10.9
2023-03-03 16:00:00,24.4,60.3,15.2,1019.9,10.2
2023-03-03 17:00:00,,58.5,12.7,1015.0,10.1
2023-03-03 18:00:00,23.3,,,1027.0,9.1
2023-03-03 19:00:00,24.4,71.7,8.2,1014.1,11.5
2023-03-03 20:00:00,22.7,71.8,8.4,1020.2,
2023-03-03 21:00:00,20.9,75.8,8.5,1009.3,
2023-03-03 22:00:00,18.6,65.9,4.7,1010.3,8.8
2023-03-03 23:00:00,15.4,78.8,6.9,1021.9,10.0
2023-03-04 00:00:00,16.7,77.0,7.3,1017.7,8.9
2023-03-04 01:00:00,18.7,88.1,3.2,1012.8,10.6
2023-03-04 02:00:00,17.9,82.4,4.0,1011.4,9.7
2023-03-04 03:00:00,16.0,68.3,6.9,1023.1,9.1
2023-03-04 04:00:00,21.5,70.9,5.3,1023.8,10.1
2023-03-04 05:00:00,22.1,70.1,7.8,,8.0
2023-03-04 06:00:00,27.1,65.1,12.7,1013.3,11.4
2023-03-04 07:00:00,23.7,,12.7,1003.4,11.4
2023-03-04 08:00:00,21.9,60.3,,1005.2,9.0
2023-03-04 09:00:00,24.2,54.0,11.3,1016.8,
2023-03-04 10:00:00,26.8,57.6,13.0,1010.4,10.9
2023-03-04 11:00:00,24.4,60.0,17.0,1017.3,11.8
2023-03-04 12:00:00,,54.8,15.9,1012.7,9.6
2023-03-04 13:00:00,25.7,56.5,12.8,1009.3,9.5
2023-03-04 14:00:00,24.0,59.1,14.8,1013.9,9.3
2023-03-04 15:00:00,19.5,62.4,14.7,1004.1,10.5
2023-03-04 16:00:00,23.0,57.1,12.0,1011.3,11.2
2023-03-04 17:00:00,23.7,59.7,12.2,1014.2,
2023-03-04 18:00:00,19.8,72.7,12.0,1021.0,9.9
2023-03-04 19:00:00,21.1,78.0,4.7,1012.5,6.8
2023-03-04 20:00:00,18.7,68.7,6.5,1012.9,9.2
2023-03-04 21:00:00,20.8,70.1,6.4,1014.8,8.1
2023-03-04 22:00:00,19.7,76.0,7.3,1013.3,9.5
2023-03-04 23:00:00,15.9,76.1,8.2,1012.9,10.3
2023-03-05 00:00:00,19.7,70.6,,1004.2,10.2
2023-03-05 01:00:00,12.4,76.6,5.0,1010.7,11.6
2023-03-05 02:00:00,18.7,,4.8,1004.2,10.5
2023-03-05 03:00:00,18.9,76.1,6.3,1018.6,
2023-03-05 04:00:00,21.2,76.3,5.5,1005.3,12.4
2023-03-05 05:00:00,21.0,66.1,6.8,1008.0,9.3
2023-03-05 06:00:00,19.6,74.5,7.8,1007.8,8.7
2023-03-05 07:00:00,20.5,61.1,11.9,1010.8,10.4
2023-03-05 08:00:00,24.7,67.2,12.9,,12.1
2023-03-05 09:00:00,,60.6,15.6,1008.8,9.0
2023-03-05 10:00:00,23.3,52.4,13.3,1017.1,10.1
2023-03-05 11:00:00,23.1,55.5,15.8,1013.2,9.8
2023-03-05 12:00:00,22.8,60.0,15.4,1011.6,12.6
2023-03-05 13:00:00,24.5,54.1,14.1,1019.7,10.0
2023-03-05 14:00:00,24.9,64.7,15.6,,9.2
2023-03-05 15:00:00,24.7,68.6,12.3,1010.0,10.3
2023-03-05 16:00:00,24.1,55.8,,1018.9,9.2
2023-03-05 17:00:00,22.5,59.4,10.5,1005.8,10.6
2023-03-05 18:00:00,24.2,59.9,9.2,1015.7,9.1
2023-03-05 19:00:00,23.3,62.9,8.7,1011.5,9.2
2023-03-05 20:00:00,22.2,75.8,10.0,1018.4,8.5
2023-03-05 21:00:00,23.9,69.1,5.6,1013.1,11.8
2023-03-05 22:00:00,16.8,78.9,7.3,1009.9,8.3
2023-03-05 23:00:00,18.4,82.3,6.0,1016.7,8.4
2023-03-06 00:00:00,17.8,82.1,6.0,,8.4
2023-03-06 01:00:00,18.5,76.3,6.6,1008.9,10.7
2023-03-06 02:00:00,21.1,78.7,6.9,1012.2,9.6
2023-03-06 03:00:00,21.9,71.8,9.2,1015.1,9.2
2023-03-06 04:00:00,17.9,66.8,6.6,1003.6,8.8
2023-03-06 05:00:00,16.6,75.2,8.4,,10.4
2023-03-06 06:00:00,23.3,64.9,8.5,1010.4,10.2
2023-03-06 07:00:00,24.8,65.0,10.4,1012.4,9.8
2023-03-06 08:00:00,22.5,70.7,10.8,1016.3,10.9
2023-03-06 09:00:00,26.0,53.3,13.3,1012.3,12.4
2023-03-06 10:00:00,25.4,56.0,13.5,1007.1,10.6
2023-03-06 11:00:00,24.3,57.0,14.7,1014.6,8.4
2023-03-06 12:00:00,26.2,67.1,15.0,1013.5,11.2
2023-03-06 13:00:00,20.8,53.1,16.3,1009.6,
2023-03-06 14:00:00,21.3,,13.9,1012.3,8.2
2023-03-06 15:00:00,22.7,59.3,12.3,1015.7,10.3
2023-03-06 16:00:00,24.7,56.5,12.6,1006.8,9.5
2023-03-06 17:00:00,23.5,67.7,,,8.2
2023-03-06 18:00:00,25.6,68.0,8.6,,
2023-03-06 19:00:00,23.2,78.6,,1019.0,8.1
2023-03-06 20:00:00,23.9,69.5,6.4,1010.8,10.5
2023-03-06 21:00:00,15.5,73.1,,1004.7,10.6
2023-03-06 22:00:00,19.8,73.7,4.3,1011.6,8.5
2023-03-06 23:00:00,17.3,77.3,3.7,1017.3,10.7
2023-03-07 00:00:00,15.8,78.5,,1013.6,10.3
2023-03-07 01:00:00,17.6,71.1,6.6,1011.1,11.0
2023-03-07 02:00:00,17.9,,3.7,,10.8
2023-03-07 03:00:00,,73.3,8.6,1008.6,10.5
2023-03-07 04:00:00,19.8,68.6,,1004.2,9.8
2023-03-07 05:00:00,23.4,68.0,9.0,1007.4,10.0
2023-03-07 06:00:00,19.9,66.9,8.3,1015.0,10.0
2023-03-07 07:00:00,25.7,59.3,11.4,1015.2,9.8
2023-03-07 08:00:00,23.1,56.7,11.5,998.1,9.7
2023-03-07 09:00:00,25.9,65.3,13.6,1012.9,9.3
2023-03-07 10:00:00,24.4,57.3,15.3,1009.0,10.5
2023-03-07 11:00:00,22.5,53.9,16.2,1009.0,9.4
2023-03-07 12:00:00,24.8,64.4,14.6,1012.2,10.4
2023-03-07 13:00:00,24.5,62.3,14.9,1009.3,9.5
2023-03-07 14:00:00,24.2,62.5,15.0,1009.7,9.9
2023-03-07 15:00:00,22.9,56.9,13.6,1012.3,9.4
2023-03-07 16:00:00,20.0,60.5,,,9.0
2023-03-07 17:00:00,20.7,64.2,8.7,1002.6,10.3
2023-03-07 18:00:00,20.5,64.0,7.8,1016.8,11.0
2023-03-07 19:00:00,21.9,67.2,9.5,1009.0,11.3
2023-03-07 20:00:00,23.2,58.4,9.3,,9.1
2023-03-07 21:00:00,15.4,75.0,5.6,1014.2,9.7
2023-03-07 22:00:00,15.3,72.0,7.3,1017.9,10.1
2023-03-07 23:00:00,17.6,80.8,3.9,1012.7,10.9
2023-03-08 00:00:00,13.5,76.1,6.2,1015.1,8.5
2023-03-08 01:00:00,,83.3,5.2,1005.1,9.1
2023-03-08 02:00:00,17.4,,5.5,1010.2,7.9
2023-03-08 03:00:00,14.8,78.5,6.4,1015.7,9.4
2023-03-08 04:00:00,21.2,70.5,7.1,1018.0,
2023-03-08 05:00:00,18.5,67.7,8.4,1003.6,10.3
2023-03-08 06:00:00,21.6,68.0,8.1,1009.4,8.5
2023-03-08 07:00:00,23.4,68.0,13.5,1003.5,10.7
2023-03-08 08:00:00,26.0,56.9,11.3,1007.5,9.3
2023-03-08 09:00:00,22.3,62.2,13.8,1008.1,9.4
2023-03-08 10:00:00,,62.8,16.9,1009.3,9.3
2023-03-08 11:00:00,24.9,63.0,13.9,1004.0,9.6
2023-03-08 12:00:00,23.7,61.8,15.3,1006.5,11.6
2023-03-08 13:00:00,,63.8,15.2,1002.7,11.3
2023-03-08 14:00:00,24.6,49.9,13.6,1011.2,9.2
2023-03-08 15:00:00,23.6,60.6,14.2,1016.4,10.2
2023-03-08 16:00:00,25.5,61.3,10.6,1013.5,9.8
2023-03-08 17:00:00,24.4,72.1,11.3,1010.6,10.8
2023-03-08 18:00:00,22.5,,7.5,1008.4,9.2
2023-03-08 19:00:00,21.5,71.8,11.1,1017.4,9.1
2023-03-08 20:00:00,19.0,67.7,6.5,1012.5,9.4
2023-03-08 21:00:00,17.3,80.9,10.3,1017.4,8.7
2023-03-08 22:00:00,15.2,66.2,3.8,1006.3,9.6
2023-03-08 23:00:00,17.9,,5.7,1019.2,10.7
2023-03-09 00:00:00,14.3,83.8,6.3,1001.7,8.3
2023-03-09 01:00:00,17.3,86.6,4.4,1013.9,10.2
2023-03-09 02:00:00,15.6,73.2,5.4,1006.1,11.2
2023-03-09 03:00:00,21.5,64.1,5.8,1019.4,10.2
2023-03-09 04:00:00,17.8,61.9,8.9,1008.9,8.1
2023-03-09 05:00:00,21.2,72.3,7.9,1022.8,9.9
2023-03-09 06:00:00,20.6,62.0,11.2,1010.2,9.2
2023-03-09 07:00:00,21.3,68.0,8.8,1012.5,10.4
2023-03-09 08:00:00,22.8,61.0,,1016.1,9.5
2023-03-09 09:00:00,21.2,56.9,15.5,,11.4
2023-03-09 10:00:00,25.1,58.9,17.4,1013.3,9.6
2023-03-09 11:00:00,25.7,62.2,13.5,1000.2,9.2
2023-03-09 12:00:00,27.1,64.9,14.8,1012.0,9.3
2023-03-09 13:00:00,25.0,64.1,17.4,1013.0,9.6
2023-03-09 14:00:00,,64.9,12.2,1012.7,11.9
2023-03-09 15:00:00,23.7,58.9,13.4,1014.0,9.8
2023-03-09 16:00:00,21.5,51.8,15.4,1008.2,9.6
2023-03-09 17:00:00,24.3,66.8,11.0,1009.7,9.4
2023-03-09 18:00:00,23.6,63.4,10.9,1009.4,11.7
2023-03-09 19:00:00,18.6,66.7,6.5,,9.8
2023-03-09 20:00:00,19.6,68.4,7.8,1008.3,11.4
2023-03-09 21:00:00,14.7,72.8,6.8,1016.6,10.6
2023-03-09 22:00:00,19.0,74.6,4.4,1017.0,10.2
2023-03-09 23:00:00,16.2,83.1,6.3,,10.4
2023-03-10 00:00:00,17.7,77.3,6.4,1011.7,11.4
2023-03-10 01:00:00,16.3,77.7,5.9,1000.1,10.4
2023-03-10 02:00:00,16.8,67.7,4.5,1010.1,10.8
2023-03-10 03:00:00,17.3,80.1,7.2,1010.0,11.2
2023-03-10 04:00:00,20.0,67.3,9.7,1017.1,10.0
2023-03-10 05:00:00,21.8,66.3,10.2,1019.9,8.9
2023-03-10 06:00:00,23.3,61.1,9.6,1014.5,9.1
2023-03-10 07:00:00,24.4,61.5,11.6,1024.2,10.4
2023-03-10 08:00:00,24.1,68.0,13.1,1009.3,10.6
2023-03-10 09:00:00,28.5,54.0,11.5,1012.2,10.9
2023-03-10 10:00:00,25.8,60.9,15.4,1010.1,11.2
2023-03-10 11:00:00,25.3,64.4,16.5,1004.5,11.8
2023-03-10 12:00:00,,47.8,17.0,1013.8,11.4
2023-03-10 13:00:00,23.7,65.7,15.7,1012.7,9.9
2023-03-10 14:00:00,24.0,62.5,14.9,1013.5,9.9
2023-03-10 15:00:00,22.7,,14.9,1007.7,8.7
2023-03-10 16:00:00,24.2,64.4,12.3,,8.4
2023-03-10 17:00:00,22.6,61.8,9.1,1005.7,7.8
2023-03-10 18:00:00,21.2,68.4,10.5,1009.7,8.9
2023-03-10 19:00:00,23.4,67.2,9.9,1016.9,8.2
2023-03-10 20:00:00,20.2,,8.2,1013.7,10.3
2023-03-10 21:00:00,,71.4,4.5,1001.7,10.7
2023-03-10 22:00:00,20.9,79.0,5.0,1017.7,8.9
2023-03-10 23:00:00,11.5,,7.3,,12.5
